text,true_label,predicted_label
"As the senators’ letter pointed out this week, government watchdogs have repeatedly called out the PHEAA’s mismanagement of the program over the years.",1,0
"As the world’s scientists and pharmaceutical companies seek a cure for the coronavirus, other anti-vaxxers are gearing up for a fight against any potential new vaccine.",1,0
"As travel bans and national quarantines have spread around the world faster than anyone thought possible, so have sometimes disingenuous and outright deceitful stories.",0,1
"As voters around the country brace for the general election in November, lawmakers in different states have begun the process of introducing bills aimed at rolling back the rights of transgender people, previewing a major civil rights issue aimed at polarizing voters.",1,0
"Authoritarianism experts who worried about Trump’s tendencies during his campaign and his first years in office are now sounding fresh alarms following the clearing of a park adjacent to the White House on Monday using gas, flash-bang grenades, pepper pellets and other aggressive tactics ― all so he could stand in front of a church he does not attend and be photographed holding a Bible.",0,1
Biden rejects Trump claim that COVID-19 vaccine is imminent,0,1
"Biden’s new, 12-page policy plan proposes financing for its recommendations, including funneling more money to regions with high poverty rates and pushing the United States to net-zero greenhouse emissions by 2050, by raising corporate taxes and ending subsidies for fossil fuels.",1,0
"BLM, like the Women’s March, has from its start been ardently antisemitic.",1,0
"But Americans who blame anti-vaccination parents and propaganda have it wrong. Yes, those who do not vaccinate their children play a role in our failing rates, and lies about vaccinations causing autism have made matters worse, but there are less known, more significant causes to poor completion rates in children. ",0,1
"But at its core, there's a basic truth that's unavoidable: ahead of the 2016 cycle, Trump insisted he wouldn't cut any of these social-insurance programs, and ahead of the 2020 cycle, his position is fundamentally different.",0,1
But our new research disproves the admittedly tempting idea that merely putting a woman in power improves gender equality. ,0,1
"But the timing made the mailer less of an attack than an argument in favor of Lewis George: It arrived in mailboxes as protests over police killings of Black people, including George Floyd in Minneapolis, broke out nationwide and sparked calls for massive overhauls of police departments across the country.",1,0
"But Trump has a track record of flouting scientific advice and some experts are skeptical that vaccine trials, which have to study potential side effects on a wide range of people before they can deliver a verdict, can be completed by late this year or even early next year.",1,0
"But while they have claimed that Obamacare is a burden for the country, there's a good reason why they haven't had enough political will to tear it down through Congress.",0,1
"Carmen Lodato wears a pin with her mother’s face — a reminder of the heart-wrenching murder six years ago in Alexandria, Va., that got her into the fight for gun control. ",1,0
"Cartwright, who represents Pennsylvania’s eighth congressional district, launched a campaign ad recently, claiming that Bognet would eliminate health insurance coverage for millions of Americans.",1,0
"CNN Hires Woke Saints Safety Malcolm Jenkins to Comment on Race, Social Justice Issues",1,0
"Collins, often described as a “moderate,” is not a far-right wingnut; the Maine senator leans conservative but isn’t an extremist like Rep. Devin Nunes of California or Rep. Jim Jordan of Ohio. ",1,0
"Critics of the federal refugee resettlement program warn that, if elected, Hillary Clinton will flood the country with Muslim refugees.",1,0
"Democrat megadonor and healthcare executive Judy Faulkner has tried to block a Trump healthcare rule that would cut healthcare costs, grant patients more control over their healthcare data, and preserve her company’s dominant status in the electronic healthcare record market.",1,0
"Democrats recently provided more funding for the state’s roads — through an unpopular, regressive gas tax hike rather than spending cuts on less urgent priorities.",1,0
"Despite encouraging and supporting unrest, Ocasio-Cortez simultaneously advises her Twitter followers to avoid “public places” due to the coronavirus outbreak",1,0
"Donald Trump became the first U.S. president to attend the annual March for Life in Washington on Friday, unleashing a fierce attack on his Democratic rivals during a rally in an election-year show of support for opponents of abortion rights.",1,0
"Donald Trump has spun a cult of personality around himself, aided by a wholly complicit Republican Party now under his complete control.",0,1
"Donald Trump is not an ideas man. This has been a defining feature of his presidency. He’s not a learned policy wonk, understanding the complex nuances of law and governance. He is, at his core, just a former game show host and a con man.",1,0
"During a meeting on the coronavirus Monday, Trump asked a group of pharmaceutical CEOs if a vaccine would ""make you better quicker,"" indicating the president does not fully grasp that a vaccine would prevent, not treat, the virus.",1,0
"During a rare public address last week, the former president appeared to challenge Trumpism while urging U.S. voters to resist detractors of American democracy",1,0
"During July’s debate, Sanders again stated that people will “pay more in taxes” but claimed that it would result in “less” spent on health care.",1,0
"Earlier, the Welt am Sonntag German newspaper reported that President Donald Trump had offered funds to lure CureVac to the United States",1,0
"Floyd, 46, was killed in police custody in Minneapolis, Minnesota, on Memorial Day, setting off nationwide protests and riots and reinvigorating the Black Lives Matter movement.",1,0
"For decades, opponents of reproductive rights have faced a judicial arithmetic they could not overcome: there simply weren't five justices willing to overturn Roe.",1,0
"For several years, climate change doomsayers have turned their attention to cattle, as a series of reports demonstrated that “livestock emissions” are more dangerous for the environment than automobiles.",1,0
"Four states will hold their primary contests on Tuesday night, despite Georgia and Louisiana each postponing their elections previously scheduled for a few weeks later over concerns of the spreading Wuhan virus.",1,0
"Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement, saying that aid groups working with refugees should instead prioritize other Texans in need, including the state’s homeless population.",1,0
Gwyneth Paltrow’s anti-vaxxer ally comes under fire for ‘discredited pseudo-scientific claims’ about coronavirus,0,1
Harry Potter creator J.K. Rowling released a lengthy essay in response to the mounting attacks she’s received from transgender activists forcing an effort to erase womanhood and targeting the Harry Potter author for refusing accept their logic that a man can “become” a woman merely by asserting that he has done so.,1,0
"Harvard University recently announced that it will ban students from in-person classes for the entirety of the next academic year. The decision, not based on science, is typical of the decisions made by many elites in response to the novel coronavirus sweeping the globe.",1,0
"he conservative Club for Growth Action group launched NeverTrumperChrisJacobs.com and launched an ad, claiming that Jacobs campaigned with Never Trump Republican Bill Weld as well as refusing to back President Donald Trump in 2016. ",1,0
He even wants a son to get a background check before a father can give him a gun as a gift.,1,0
"How do we deal with the false perception that liberals are more inclined to trust science than conservatives? Or, how do we approach the media’s fondness for focusing on the unscientific views of some conservatives but ignoring the irrational—and oftentimes, more consequential—beliefs of their fellow liberals?",0,1
"However, Democrats, including some of the 2020 candidates, have continued to push a narrative that Trump called white supremacists “very fine people,” when he clearly did not.",0,1
"Hundreds of white nationalists lined the streets of Charlottesville, Va., last Saturday to protest the removal of a Confederate monument. Some waved Confederate and Nazi flags, others brandished shields.",1,0
Hungary’s parliament has passed a declaration against signing the Istanbul Convention on preventing and combating violence against women because it smuggles in provisions declaring gender a “social construct” and allowing “gender-based asylum claims”.,1,0
"If sports don’t trump religion as the opiate of the masses, they have, until recently, been at least the background music of most of our lives.",0,1
"If the Massachusetts Democrat’s proposal were to become law, it would almost certainly face a court challenge – thanks to the fact that it’s a tax on wealth, as opposed to a tax on income.",1,0
"If vaccination as a mechanism works, that doesn’t mean that vaccines cannot be a health hazard depending on how they’re made.",1,0
"Immigration Voice claims to be an independent group, but reportedly works closely with Compete America, an advocacy group formed by the nation’s major tech companies, nearly all of whom employees large blocs of Indian and Chinese visa-workers in jobs that could be filled by young American graduates.",1,0
"In a direct rebuttal to President Donald Trump, Joe Biden and Bernie Sanders delivered somber, and at times searing, speeches Thursday slamming the administration's handling of the coronavirus pandemic and detailing how they believe the government should be responding to the crisis.",0,1
"In a roughly 10-minute speech, Biden celebrated his Super Tuesday wins and hit on talking points including affordable health care, access to rural health care, climate change, gun control and reducing student loan debt.",1,0
"In a September executive order, President Donald Trump gave states and local governments the right to reject refugees, but instead of saying no, most state and local officials have blindsided the administration by opting in, according to two former officials familiar with the matter.",1,0
"In a sweeping social policy shift, the Trump administration is seeking to remake health rules at home and abroad for women, gay and transgender people, restricting access to abortion, curtailing support for contraception and narrowing the scope of civil rights in healthcare.",1,0
"In a year that has seen armed militia members confront protesters, some voting rights advocates worry gun-toting groups will show up outside polling places.",1,0
"In addition to calling for severe funding cuts to Seattle police, CHAZ protests have been oozing with socialist slogans, propaganda and demands.",1,0
"In July 2019, Rep. Alexandria Ocasio-Cortez, D-N.Y., and other Democrats visited a similar processing center in Clint, Texas, and made explosive allegations about the conditions there.",1,0
In one of his his most recent lies President Donald Trump now says he’s always known and felt the coronavirus crisis is a pandemic.,1,0
"In practice, the U.S. quietly provides health care to at least ten million illegal migrants who are in the United States, while also erecting tough physical and legal barriers to the arrival of yet more illegal aliens.",0,1
"In the Joe Biden-Bernie Sanders “Unity” platform, Democrats are vowing to provide free, American taxpayer-funded health care to illegal aliens who are able to enroll in former President Obama’s Deferred Action for Childhood Arrivals (DACA) program.",0,1
"In the video, while answering a question of whether conservatives have legitimate fears of Islamic terrorism and therefore justification for measures to stop it, she appears to say that white men are in fact a greater threat.",1,0
"In Washington, three key issues seemed to galvanize most of the protesters: climate change, immigration and reproductive rights.",1,0
"In a press conference on Wednesday, Trump tried to justify all this by claiming we're witnessing ""a shocking explosion of shootings, killings, murders and heinous crimes of violence.""",0,1
Inside Trump’s brazen plot to gut Social Security,0,1
It marked the second incident in as many days of a vehicle driving at people protesting Floyd’s death after a New York City Police car was captured on video on Saturday driving into a crowd of protesters who were pelting it with objects.,1,0
"It should be clear by now that no matter how bad the violence gets, López Obrador is not going to do anything about the cartels.",0,1
It wasn't long after Donald Trump and his team took office that they looked for ways to make things easier for polluters.,1,0
"It’s only a matter of time, the argument goes, before the Roe v. Wade precedent is struck down at the hands of five conservative justices, two of whom are on the high court thanks to Trump.",1,0
"It's not just governments and international organizations that have lined up to express dismay at Trump's move. Experts, entrepreneurs and others have also been quick to condemn the announcement.",1,0
"Joe Biden, who has been content to sit in the basement thus far, now has to play some offense, and he has two big chances to do it.",1,0
"John Oliver admits he's scared of ""literally everything,"" but perhaps nothing more than parents-turned-activists seemingly hellbent on unleasing a new plague.",0,1
"Kansas is poised to finally accept Medicaid expansion under the Affordable Care Act, through an agreement achieved by Democratic Gov. Laura Kelly and Sen. Jim Denning, the Republican leader of the state Senate.",1,0
"Last week, black transgender woman Iyanna Dior was beaten by a mob at a gas station in Minneapolis, and video of the attack has gone viral online with millions of viewers.",0,1
Legions of white people are kneeling to ask forgiveness for something they had no part of.,1,0
"Local health officer Dr Rosana Salvaterra appeared to co-sign the demonstration, praising activists for wearing masks and claiming they obeyed social distancing protocols — although footage of the event strongly suggests that is not strictly accurate.",1,0
"Long-simmering tensions between Japan and South Korea exploded at the beginning of July, when Japan imposed restrictions on the export of chemicals crucial to electronics manufacturing to South Korea. ",1,0
"Major League Baseball is using its financial muscle to support the U.S. women's softball team, which already is assured a spot in the Tokyo Olympics while the American men's baseball team struggles to qualify.",1,0
"Many Chicagoans vehemently oppose President Donald Trump’s pledge to send federal officers to the third-largest U.S. city, after seeing camouflaged agents deployed in Portland club and tear-gas anti-racism protesters.",1,0
"More recently, a case this year was won against the Syrian regime of Bashar al-Assad, regarding the president’s direct involvement in the targeted killing of American journalist Marie Colvin amid the vicious civil war and dissident crackdown in 2012.",0,1
"More than 100 gang members from El Salvador are among the massive wave of migrants that's poured across the border in recent months, with nearly 400 illegal immigrants nabbed trying to cross en masse last week and a group of more than 100 caught scaling a wall Monday, beleaguered border officials said.",1,0
Muslims should not even be allowed to seek positions of political office in this country.,1,0
No sooner do states start getting together to talk about what it would take to start a rolling economic re-opening than here comes Donald Trump to assert that only he has that authority.,1,0
"Northam, who is leading the push for stronger gun laws in his state, said he wants to avoid a repeat of violence that erupted at a 2017 white supremacist rally in Charlottesville, when a march by white nationalists erupted and led to the death of a counterprotester.",1,0
"Not since the Jim Crow South years have we had to worry about people's physical safety as they approach the polls to cast their vote -- and the ""Four More Years"" folks and other gun-toting Trump supporters have, I fear, just gotten started. ",1,0
"On Monday evening, West called out his reality TV star wife and her mother, Kris Jenner, claiming the two “tried to lock” him up.",0,1
"On Saturday Donald Trump claimed he would impose (apparently by some hidden appropriations power that he does not Constitutionally possess) a “payroll tax holiday,” which would purportedly defer the payroll tax for certain employed Americans through December, as a means of financial assistance for individuals and families coping with the economic fallout of the COVID-19 pandemic. ",0,1
"Once a radical idea that only held sway in leftist circles, the idea of redirecting money away from police and prisons into community support is now gaining a much wider currency.",0,1
"One example of a Medicaid waiver involves work rules, which require able-bodied adults to work a minimum number of hours each month or participate in an equivalent activity as a condition for continued Medicaid eligibility. ",1,0
"One of the bitterest cases in academe involved Steven Salaita, whose offer of a tenured faculty position at the University of Illinois was revoked in 2014 after he posted a series of tweets harshly critical of Israel.",1,0
"One of the things that makes Alabama’s measure extraordinary is its radical simplicity: it simply bans all abortions, at every stage of pregnancy.",0,1
Other European countries have also said they will strip dual nationals who joined Islamic State of citizenship.,1,0
"Parent borrowing is a sacrifice many black parents make to pay for their children’s college education, and it is especially prevalent among families whose children attend historically black colleges and universities.",1,0
"Perhaps the pushback from the Pentagon will increase the political cost, but if congressional Republicans won’t break with the president, then he’ll probably be able to create the carnage he seeks without too much difficulty.",1,0
"Police made scores of arrests at Friday’s massive demonstration in Brooklyn, loading cuffed protesters onto city buses lined up on Atlantic Avenue, shutting down a major thoroughfare.",1,0
"President Donald Trump asserted without evidence Friday that the COVID-19 pandemic will ""go away without a vaccine."" The comments contradict the belief of some of the president's task force members.",1,0
"President Donald Trump is losing support from his evangelical base as he lurches from one crisis into another. Numerous polls show that religious Americans, like most other Americans, disapprove of the president’s performance, and that could imperil his re-election chances.",1,0
"President Donald Trump on Tuesday praised U.S. police departments and downplayed police violence against Black people, saying “more white people” are killed by police officers.",1,0
"President Donald Trump says that voting by mail is “horrible” and “corrupt” because the “tremendous potential for voter fraud” helps Democrats win elections. But county-level election supervisors in his home state of Florida — where he recently cast a vote for himself, by mail — disagree, and are doing everything they can to ensure this crucial swing state can hold a safe election during the coronavirus pandemic.",0,1
President Donald Trump touted how his reversal of Obama-era regulations on the fossil fuel industry has led to the United States being the largest producer of oil and natural gas in the world during his State of the Union address on Tuesday at the U.S. Capitol.,0,1
"President Donald Trump, addressing a less-than-full arena for his first political rally in months, blasted anti-racism protests and defended his handling of the coronavirus on Saturday in a bid to reinvigorate his re-election campaign.",0,1
"President Trump poked fun at Sen. Amy Klobuchar, D-Minn., Sunday for vowing to tackle climate change as she kicked off her 2020 presidential campaign in a snowy, freezing Minneapolis park.",1,0
President Trump sought to play down the threat from coronavirus and announced Vice President Mike Pence would be his point person to coordinate government efforts to prevent a widespread outbreak.,1,0
"President Trump, who repeatedly has lied to the American people, is claiming he is working to protect people with pre-existing conditions, while actively supporting the Republican case that could be the end of ObamaCare, and thus, protections for people with pre-existing conditions.",0,1
"Pro-democracy dissidents in Cuba condemned the island’s “accredited journalists” — reporters from mainstream media outlets with Communist Party permission to work — for their silence in the wake of an increasingly violent wave of repression, the Spain-based Diario de Cuba reported on Tuesday.",1,0
"Protests over the police killings of George Floyd, Breonna Taylor, Tony McDade and other Black Americans have ignited a national conversation about the role of law enforcement in society.",1,0
Republicans and Democrats have been jockeying for months over the next phase of coronavirus aid.,0,1
"Retailers, pharmacies, liquor stores and other merchants across the United States are gobbling up insurance that protects buildings from damage caused by societal unrest, worried about possible street violence after the U.S. presidential election, insurers and brokers told Reuters.",1,0
"Sanders also claims his Green New Deal plan will create 20 million jobs, which will effectively create a new tax base and eliminate the need for $1.31 trillion in “federal and state safety net spending due to the creation of millions of good-paying, unionized jobs.”",0,1
"Since taking office in 2017, Trump has worked with his Republican allies in Congress to make the U.S. tax system even friendlier to the wealthy and large corporations while leaving working- and middle-class families in the dust.",1,0
"Since the beginning, Biden has been grasping at the coattails of America’s first black president and relying on his administration’s laurels related to Obamacare, race relations, gun restrictions, and climate change.",1,0
"Since the start of the coronavirus outbreak, Trump has hampered efforts to slow the virus’s spread and encouraged Americans’ restlessness under quarantine.",1,0
"So if you decided a career in art history was worth the price, it shouldn’t be the government’s job to pay the bill for your student loans––even if it’s not your fault that the cost of college has exploded in recent years.",0,1
"Some people have expressed concern that full cancellation could reward wealthier—and whiter—people, who are less in need than others. But full cancellation will reduce the racial wealth gap. ",1,0
"Soule needed to be in the top six runners to advance, but came out eighth because the two biological males were also competing as transgender girls.",1,0
"Still, the CDC has withdrawn tracking numbers about testing from its website, fueling the belief that the White House is still playing politics with health information.",1,0
"Take the case of non-Hodgkin’s lymphoma survivor Chris Gonzalez; after being laid off by Goldman Sachs, the federal government gave him some relief by suspending his federal student loan payments. New Jersey, on the other hand, sued him and proceeded to snap up a state tax refund he was counting on.",1,0
"Targeted for their race and gender identity, trans black women are overlooked and their cause should be included in the protests that have been waged since the death of George Floyd, a black man, in police custody, they said.",1,0
"Tedros and his agency have been on the defensive after President Donald Trump of the United States — the WHO’s biggest single donor — last week ordered a halt to U.S. funding for the agency, alleging that it botched the early response to the outbreak.",1,0
"Tens of millions of children under 12 months are potentially at risk for diseases such as diphtheria and polio as the Chinese coronavirus pandemic interrupts routine vaccinations, according to data published by global public health experts on Friday.",1,0
"That meant anyone walking into a branch with a certain level of assets instantly became a target for multiple offers. Customers with lower incomes were less of a priority, increasingly treated as little more than a source of fee harvesting.",1,0
The anti-Trump Republican group took to Twitter with highlights of the president's so-called healthcare plan.,0,1
"The Boeing Company is set to lay off more than 12,000 Americans in the midst of the Chinese coronavirus crisis while planning an expansion in India.",1,0
"The campaign believes the push can help Trump by drumming up support from suburban and older voters who may be rattled by violent images, which have been broadcast often by conservative media outlets.",1,0
"The case made by Geoffrey Skelley and Nathaniel Rakich was simple: Supposedly Americans strongly prefer Biden and Democrats over Trump and Republicans, and they are particularly upset with Trump and other Republicans’ attempts to reopen the country as the global Coronavirus pandemic rages.",0,1
"The CBPP also points out that the end of Obamacare would result in even wider health and income gaps for people of color, citing an Urban Institute analysis from before the coronavirus pandemic.",1,0
"The Chinese Communist Party has passed a series of draconian administrative measures for religious groups, which will go into effect on February 1, 2020, bringing them completely under government control.",0,1
"The coronavirus pandemic, enabled and accelerated by Donald Trump, has killed more than 60,000 Americans. ",1,0
The deputy commissioner of Kolkata Police eventually apologized for the bloodying of students - many of whom were women - and argued that tensions had risen too quickly. ,1,0
The former administration presented itself as a protector of students against mistreatment by student loan companies that were seeking to collect debts owed and were accused of abusing student borrowers to pad their own profits,1,0
The free health care for DACA illegal aliens provision is just one of many major changes to the nation’s immigration system.,0,1
"The French aren’t only stigmatizing Chinese people but all Asians, it seems.",1,0
The home and justice secretaries have drawn up plans to fast-track the judicial system so that Black Lives Matter vandals and violent far-left protesters can be jailed within 24 hours.,1,0
"The huge political decision follows a sustained lobbying campaign by gay and transgender groups, wealthy transgender activists, law school professors, and other elite groups.",1,0
"The idea of exposing your child to something that could potentially harm her, and in a catastrophic way, is terrifying.",0,1
The ideas promoted by anti-vaccination groups — which rely on pseudoscience and conspiracy theories about the government and pharmaceutical companies — are false.,0,1
"The nation's chief diplomat didn't seem to agree, however. He complained about the line of inquiry and complained about the Obama administration for a while.",1,0
"The outbreak, which began in the Chinese city of Wuhan, has wreaked devastation on the global economy and threatens to plunge hundreds of millions of people into poverty.",0,1
"The police lynching of George Floyd provoked widespread denunciation, with even ghouls like Rush Limbaugh and Mitch McConnell condemning the individual officers responsible for the death. ",0,1
"The president, a onetime reality TV star, added some new surprises to the mix on Tuesday.",1,0
"The president’s likely opponent in the November elections, Democrat Joe Biden, was not among those who were inspired. Instead, tone-deaf as he is to the American people and the things of the Spirit, he said the president’s appearance outside the church shows he “is more interested in power than in principle.”",1,0
"The Redskins tweeted the hashtag, but Ocasio-Cortez couldn’t let that happen without taking a shot at the Redskins name.",1,0
The Republican Party is poised to cement its hold on power in state legislatures and the U.S. House of Representatives after winning nearly every election in which the power to redraw legislative maps was at stake.,1,0
"The travel ban would not have prevented the country’s deadliest terrorist attacks in recent years, which were committed by right-wing Americans, not immigrants: the anti-immigrant extremist who killed 22 shoppers at a store in El Paso; the white supremacist who killed 17 students and teachers at a school in Parkland, Florida; or the anti-Semite who killed 11 worshipers at a synagogue in Pittsburgh.",0,1
"The Trump administration has repeatedly said there is an ongoing “crisis” at the southern border and sought to deter migrants, many of whom were Central American families, from making the journey.",1,0
"The Trump administration made its anti-LGBTQ healthcare announcement on the fourth anniversary of the Pulse massacre, in Pride month.",1,0
"The Trump administration on Thursday scrapped one of its most ambitious proposals for lowering prescription medicine prices, backing down from a policy aimed at health insurers and raising the possibility of new measures focused on drugmakers.",1,0
"The Turkmen government also published photos of contact sporting events such as wrestling and martial arts, which most of the world has canceled to prevent the spread of the deadly pathogen originating in central Wuhan, China.",1,0
The U.S. moved aggressively over the past year to reduce the number of asylum seekers arriving at its southwest border through a series of measures aimed at making it a less attractive option.,0,1
"Then the tenor changed. What started as irony turned into an actual belief that white people, specifically white men, are more dangerous and immoral than any other people.",0,1
"This group is small but vocal, and represents a predictable if threatening merging of forces.",1,0
"This is one of the reasons why our politics seems so stuck. Not only do we have a hard time talking to each other, the very structure of our elections doesn’t require our politicians to even try. And when you win by turning out the base, why risk appealing to anyone else? A broken system not only elects politicians who need not listen to everyone, it actually incentivizes them to govern that way too.",0,1
"Those fighting for Black racial equality in Britain need to put realistic reform over dreams of revolution, said Imarn Ayton, an activist who has had a prominent role in protests that swept London in recent weeks.",1,0
"Though the indictment of a woman for her own pregnancy loss is unusual in Alabama, it is not unusual for prosecutors to charge people with murder even if they never killed anyone. ",1,0
"Though the state remains a hothouse for high-tech and media startups, thousands of companies left the state due to its high taxes, heavy regulations, and litigious environment.",0,1
Trump claimed without evidence that 99% of coronavirus cases in the United States were “totally harmless.”,0,1
"Trump is “angry” that intelligence officials informed Sanders and other members of Congress about some of Russia’s meddling efforts in the 2020 election cycle, Biden said, adding that the administration must do more to secure the integrity of our elections.",1,0
"Trump regularly uses Twitter to attack his political enemies, including the late Sen. John McCain, deride media outlets like CNN and he has retweeted unverified anti-Muslim videos.",0,1
"Trump was widely criticized after National Guard troops and other federal forces drove peaceful protesters from the area around the White House on Monday before he and other administration officials walked to a nearby church, which had been damaged the night before, to pose holding a BIble. ",1,0
"Trump, who opted against giving a Super Bowl pregame interview last year, made several eyebrow-raising remarks during his interview with host Margaret Brennan, touching on topics including his plan to withdraw U.S. troops from Syria and whether he would let his 12-year-old son play football.",1,0
"Trump’s comments, sent in a tweet, were his latest in a series of inflammatory statements related to race, which has become a top political issue ahead of the Nov. 3 election amid nationwide protests about civil rights and racial inequality.",1,0
Trump's latest conspiracy theory seems to echo Facebook 'antifa panic' — and Rudy Giuliani's BLM paranoia,0,1
Two Muslim men say they were booted off an Alaska Airlines flight in February because of text messages they sent in Arabic.,1,0
"Two years ago, America’s white nationalist movement stunned the country. Neo-Nazi demonstrations in Charlottesville, Virginia, had turned deadly when a far-right protester drove a car through a crowd, killing one and injuring dozens.",0,1
"U.S. firearms makers will be able within days to export as much as 20% more guns, including assault rifles and ammunition, under rules the Trump administration announced on Friday.",1,0
"U.S. President Donald Trump sought to turn nationwide protests to his political advantage in a campaign appearance in the election swing state of Arizona on Tuesday, vowing to prevent “the left-wing mob” from pushing the United States into chaos.",0,1
"U.S. prosecutors on Friday unveiled charges against 18 Portland, Oregon protesters ranging from assaulting police to arson and trespassing, a day after the Trump administration expanded the deployment of tactical police to Seattle.",1,0
"Until the last few years, all Washington could talk about was how to cut Social Security benefits, and by how much but a grass-roots progressive coalition began campaigning for expansion in 2013, and the idea has since moved straight to the heart of the Democratic Party.",1,0
"Vice President Joe Biden said of COVID-19 on Tuesday in a public address that “Our darkest days are ahead of us, not behind us,” the same day Congress passed another $900 billion big business and blue state bailout spree and the day after he received the new COVID vaccine on live television.",1,0
"Victoria’s Secret spring campaign featuring transgender and plus-sized models marks a dramatic shift toward progressive feminism for Victoria’s Secret, which has been roiled by management changes in the past year.",1,0
"Warren, a U.S. senator from Massachusetts, estimates her healthcare overhaul will cost an additional $20.5 trillion in federal spending over 10 years without the need to raise middle-class taxes, a claim questioned by some of her rivals in the 2020 White House race.",1,0
"We have to hope that the GOP evolves into a better version of itself because, as Arthur Schlesinger Jr. observed in an article in the New York Times in 1950, this country needs two intelligent parties.",1,0
"Wealth taxes have been tried in many European countries, with limited success.",1,0
"Well, lo and behold, the shooting that always comes after unchecked looting, the painfully obvious result of what happens when Democrat politicians allow their cities to be burned with impunity, of what happens when the establishment media openly cheerlead and encourage their Antifa Brownshirts, has now happened.",0,1
"Whether it is due to gaffes, his inability to complete some sentences, or lack of knowledge on a subject, Biden has proven that interviews are not for him and the media has covered accordingly.",1,0
"While a number of transgender advocates and LGBTQ health experts applauded P&G’s decision to redesign the Always packaging by removing the female signs, the company’s announcement sparked criticism online, including a bounty of transphobic commentary.",1,0
"While emphasizing he’s not singling out either party, Cohen warned about the danger of normalizing white supremacist ideology.",0,1
"While the announcement identifies cases of alleged police misconduct, it does not mention violence accompanying the protests over Floyd’s death that the Foundation is now backing.",1,0
"White House Press Secretary Kayleigh McEnany voiced tepid support for Defense Secretary Mark Esper, after he stated Wednesday that he did not support invoking the Insurrection Act, which would allow active-duty troops to act in domestic law enforcement roles.",1,0
Why women have abortions is a topic much discussed by those who argue that ending a life in the womb is sometimes necessary.,1,0
Will the American people follow the commands of Donald Trump's coronavirus death cult?,0,1
"Yet it far better applies to unelected career bureaucrats’ use of their power to prosecute their political enemies, which comprises the heart of the “resistance” to Republican rule that will endure so long as bureaucracy has enough power to challenged elected branches of government. This bureacracy weaponization was also a hallmark of the Obama presidency, with — ironies of ironies — perhaps the biggest evidences again coming from the Department of Justice under attorneys general Eric Holder and Loretta Lynch.",0,1
